umap_x,umap_y,tsne_x,tsne_y
11.836184,2.0947733,-28.966702,5.283455
11.763694,2.0515385,-28.82202,5.4724503
11.930033,2.1431315,-28.582766,5.7847753
31.386145,10.2910795,23.588816,-6.03679
31.39696,10.33066,23.589176,-6.0362234
31.3345,10.283677,23.589766,-6.0356765
31.09222,10.097632,23.590935,-6.0338974
31.137796,10.144025,23.593277,-6.030774
31.130968,10.128453,23.597855,-6.023433
31.471565,10.309747,23.60678,-6.0036435
31.40961,10.330538,23.640106,-5.928297
31.420044,10.497723,24.231836,-8.592391
31.479,10.434319,24.242025,-8.597665
31.44945,10.358141,24.262213,-8.608848
31.456343,10.42231,24.309814,-8.63267
31.554707,10.465957,24.458933,-8.717067
31.525208,10.344414,24.660131,-8.827607
31.567987,10.321017,24.893772,-8.960452
31.662811,10.4175205,25.265404,-9.1883335
11.816559,2.0292704,-29.597694,5.410586
11.853,2.020536,-29.591904,5.416769
11.796798,2.035351,-29.577797,5.431525
11.876037,1.9841118,-29.539623,5.4771824
11.844982,2.0195682,-29.459326,5.5576844
11.848082,2.0577948,-29.328894,5.681365
11.810868,1.98299,-29.147982,5.840323
11.846959,2.0123062,-28.8476,6.097368
31.642387,10.535154,23.977165,-9.288708
31.613832,10.498731,23.985422,-9.293221
31.609432,10.504554,24.00254,-9.303396
31.70914,10.607501,24.03958,-9.327257
31.700497,10.5959015,24.116589,-9.368818
31.66644,10.574271,24.258615,-9.435238
31.692432,10.632524,24.49547,-9.534494
31.768127,10.513061,24.906788,-9.689177
12.03814,2.2740834,-30.17088,6.1575747
12.058846,2.2845366,-30.16687,6.1614485
12.026959,2.2614741,-30.158758,6.168826
12.07788,2.308358,-30.142284,6.1839175
12.05641,2.2903445,-30.108206,6.2151985
12.031995,2.267962,-30.03284,6.2841573
11.988797,2.226674,-29.884119,6.4246492
11.738142,2.1825147,-29.61487,6.669815
30.804956,9.934414,23.78524,-1.2492076
30.863262,9.986847,23.785126,-1.2492099
30.791769,9.940212,23.785088,-1.2493279
30.83812,9.958773,23.784893,-1.2493075
30.9528,10.033574,23.784641,-1.2495662
30.983717,10.065711,23.784042,-1.2500818
30.86093,9.976122,23.78362,-1.2523128
30.905308,10.013111,23.783178,-1.2644007
-16.890131,-19.718555,-5.099728,4.68302
-16.960861,-19.6859,-5.099734,4.6830244
-16.905313,-19.642256,-5.09972,4.6829786
-17.002249,-19.76609,-5.09974,4.6829996
-16.991316,-19.535686,-5.099781,4.6830964
-16.919779,-19.693962,-5.0994253,4.683183
-16.996021,-19.577076,-5.0985355,4.684035
-17.030624,-19.702734,-5.095817,4.685667
-17.10013,-19.284721,-15.275603,-2.6025782
-17.049469,-19.308096,-15.274811,-2.6026092
-17.068544,-19.297117,-15.275227,-2.6025777
-17.028934,-19.284986,-15.275558,-2.6025443
-16.995916,-19.48167,-15.2755,-2.6028965
-17.090914,-19.297815,-15.275854,-2.6035645
-17.106674,-19.248714,-15.27649,-2.6040864
-17.134718,-19.261269,-15.279178,-2.6061673
-2.4525292,-13.044935,6.380384,11.224552
-2.4405544,-13.0512905,6.38483,11.243743
-2.4714074,-13.02656,6.3917804,11.283925
-2.4881012,-13.013455,6.397614,11.364408
-2.4196274,-13.0771265,6.376538,11.49212
-2.4188437,-13.080437,6.310455,11.664881
-2.4255726,-13.086736,6.217265,11.933831
-2.5997982,-12.937814,6.072237,12.3938
-3.6538596,-12.473019,1.3003378,7.4167295
-3.5950906,-12.515247,1.3037878,7.410755
-3.6153293,-12.504256,1.3111806,7.3998594
-3.5546129,-12.574566,1.3279576,7.3777795
-3.5970833,-12.53201,1.3768018,7.3326774
-3.5543878,-12.561714,1.5198001,7.22393
-3.4661696,-12.63545,1.8058034,6.9852133
-3.301888,-12.774474,2.2496076,6.5216928
-17.32775,-12.985485,-19.701628,-6.9593387
-17.340624,-13.000069,-19.694355,-6.951138
-17.306738,-12.966086,-19.679358,-6.9339943
-17.346241,-13.002152,-19.651283,-6.900834
-17.345335,-13.002512,-19.613838,-6.8422704
-17.321022,-12.979795,-19.592628,-6.7316003
-17.251295,-12.926076,-19.650633,-6.4670897
-17.114147,-12.836721,-19.773634,-5.9131346
0.01071675,-13.2519,11.844198,14.076043
-0.0049976124,-13.248838,11.842288,14.096168
